"Date","Price","Open","High","Low","Vol.","Change %"
"04/18/2024","43.00","42.50","43.50","42.25","2.79M","1.18%"
"04/17/2024","42.50","42.15","42.90","42.15","3.40M","-0.58%"
"04/16/2024","42.75","42.85","43.30","42.45","4.66M","-1.38%"
"04/15/2024","43.35","43.15","43.50","43.00","3.90M","-0.80%"
"04/12/2024","43.70","43.90","44.25","43.30","4.32M","-1.02%"
"04/11/2024","44.15","43.70","44.35","43.40","3.40M","-1.01%"
"04/10/2024","44.60","43.90","44.80","43.90","5.31M","0.68%"
"04/09/2024","44.30","44.25","44.90","44.20","3.57M","0.68%"
"04/08/2024","44.00","44.50","44.65","43.70","4.09M","-1.23%"
"04/05/2024","44.55","43.90","44.85","43.65","3.98M","1.48%"
"04/03/2024","43.90","43.65","44.25","43.55","5.64M","-0.45%"
"04/02/2024","44.10","43.10","44.40","42.85","7.51M","4.38%"
"03/28/2024","42.25","40.75","42.60","40.75","5.26M","2.42%"
"03/27/2024","41.25","43.60","43.60","40.35","7.75M","-1.08%"
"03/26/2024","41.70","41.60","42.00","40.95","4.60M","1.83%"
"03/25/2024","40.95","41.00","41.05","40.40","3.12M","0.74%"
"03/22/2024","40.65","42.15","42.15","40.45","4.81M","-3.44%"
"03/21/2024","42.10","41.35","42.45","41.35","4.64M","2.18%"
"03/20/2024","41.20","41.70","41.85","41.20","3.39M","-1.20%"
"03/19/2024","41.70","41.85","42.30","41.35","4.56M","-1.77%"
"03/18/2024","42.45","42.00","42.50","41.65","4.26M","0.24%"
"03/15/2024","42.35","42.65","42.65","41.75","8.70M","-0.82%"
"03/14/2024","42.70","42.30","42.70","41.70","7.91M","0.95%"
"03/13/2024","42.30","42.60","42.85","42.00","5.41M","-0.70%"
"03/12/2024","42.60","42.00","42.75","41.55","8.50M","1.43%"
"03/11/2024","42.00","41.50","42.40","41.00","6.72M","1.20%"
"03/08/2024","41.50","41.70","42.30","41.35","6.68M","-0.84%"
"03/07/2024","41.85","42.35","42.60","41.50","4.34M","-0.83%"
"03/06/2024","42.20","41.55","42.60","41.25","5.76M","1.56%"
"03/05/2024","41.55","42.35","42.35","40.75","8.73M","-2.00%"
"03/04/2024","42.40","42.90","42.90","41.65","8.68M","-1.17%"
"03/01/2024","42.90","43.65","43.65","42.90","4.85M","-3.38%"
"02/29/2024","44.40","44.00","44.75","43.95","5.03M","0.68%"
"02/28/2024","44.10","44.80","44.85","43.75","3.50M","-1.45%"
"02/27/2024","44.75","44.60","44.80","44.20","2.96M","0.34%"
"02/26/2024","44.60","44.60","44.80","44.25","2.36M","-0.22%"
"02/23/2024","44.70","44.30","44.95","44.30","4.71M","-0.56%"
"02/22/2024","44.95","44.70","44.95","44.15","3.10M","1.12%"
"02/21/2024","44.45","44.45","44.75","43.70","4.12M","0.45%"
"02/20/2024","44.25","43.95","44.25","43.20","1.87M","1.61%"
"02/19/2024","43.55","44.80","44.80","43.45","1.62M","-2.90%"
"02/16/2024","44.85","43.35","44.95","43.35","2.09M","2.28%"
"02/15/2024","43.85","43.45","44.10","43.15","1.71M","0.92%"
"02/14/2024","43.45","41.60","43.70","41.60","1.99M","2.00%"
"02/09/2024","42.60","42.20","42.80","42.15","990.81K","-1.27%"
"02/08/2024","43.15","43.50","43.90","42.80","3.04M","-0.80%"
"02/07/2024","43.50","43.70","44.10","43.30","2.95M","-0.46%"
"02/06/2024","43.70","42.35","43.90","42.15","4.07M","3.19%"
"02/05/2024","42.35","41.55","42.65","41.55","3.19M","0.36%"
"02/02/2024","42.20","42.35","42.90","42.15","3.35M","-0.24%"
"02/01/2024","42.30","42.35","42.80","41.75","3.22M","-0.12%"
"01/31/2024","42.35","42.40","42.45","41.90","5.63M","0.12%"
"01/30/2024","42.30","42.35","42.35","41.45","4.60M","-0.12%"
"01/29/2024","42.35","41.90","42.75","41.90","3.88M","1.07%"
"01/26/2024","41.90","42.10","42.40","41.50","2.99M","-0.59%"
"01/25/2024","42.15","41.20","42.25","41.15","6.31M","2.80%"
"01/24/2024","41.00","40.00","41.20","40.00","6.14M","2.50%"
"01/23/2024","40.00","39.80","40.20","39.50","5.83M","1.01%"
"01/22/2024","39.60","39.75","39.90","39.10","6.84M","-0.38%"
"01/19/2024","39.75","38.95","39.90","38.75","5.43M","2.32%"
"01/18/2024","38.85","38.70","39.00","38.00","5.70M","0.91%"
"01/17/2024","38.50","39.55","39.55","37.95","16.90M","-3.51%"
"01/16/2024","39.90","41.55","41.55","39.70","5.48M","-3.97%"
"01/15/2024","41.55","41.25","41.70","40.95","1.73M","0.73%"
"01/12/2024","41.25","40.95","41.40","40.65","3.46M","0.12%"
"01/11/2024","41.20","41.10","41.45","40.65","3.26M","0.12%"
"01/10/2024","41.15","41.30","41.55","40.75","3.90M","-0.60%"
"01/09/2024","41.40","41.45","41.85","41.10","4.17M","0.36%"
"01/08/2024","41.25","42.40","42.55","41.20","4.26M","-2.71%"
"01/05/2024","42.40","42.60","42.85","42.20","3.10M","-1.05%"
"01/04/2024","42.85","43.40","43.45","42.50","4.75M","-1.61%"
"01/03/2024","43.55","43.90","44.05","43.15","6.53M","-1.58%"
"01/02/2024","44.25","45.45","45.45","44.00","1.93M","-1.99%"
